h3_08,propertyType,lotAreaValue,priceChange,zestimate,imgSrc,price,bedrooms,longitude,latitude,listingStatus,zpid,rentZestimate,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,unit,newConstructionType,resultsPerPage,totalPages,totalResultCount,h3_07,geometry,pricePerSqft
8828d55467fffff,SINGLE_FAMILY,4103.352,,,https://photos.zillowstatic.com/fp/54fd21918d51503849c81431c976f9f2-p_e.jpg,2200000.0,4.0,-122.40521,47.567017,FOR_SALE,66648824.0,,4.0,4.0,3450.0,USA,USD,sqft,,,41,1,31,8728d5546ffffff,"POLYGON ((-122.40490711639492 47.560784503546586, -122.39994145784223 47.56409813439231, -122.40154763135479 47.5682664419281, -122.40811988057048 47.56912097643544, -122.41308527680441 47.565807238412106, -122.41147868620757 47.56163907307158, -122.40490711639492 47.560784503546586))",637.6811594202899
8828d55421fffff,SINGLE_FAMILY,4721.904,,1598800.0,https://photos.zillowstatic.com/fp/d61d8f8291d4e805c6faa2e116068c17-p_e.jpg,1550000.0,4.0,-122.41041,47.574467,FOR_SALE,48736917.0,4500.0,4.0,3.0,2820.0,USA,USD,sqft,,,41,1,31,8728d5542ffffff,"POLYGON ((-122.40972647907235 47.57328874568726, -122.40476041120107 47.57660212259402, -122.40636701756867 47.58076949568571, -122.41294010898876 47.581623349709616, -122.41790591433265 47.57830986562725, -122.41629889085004 47.57414263470912, -122.40972647907235 47.57328874568726))",549.645390070922
8828d55519fffff,SINGLE_FAMILY,3284.424,,959700.0,https://photos.zillowstatic.com/fp/fcbbed2ae5565f76019d936f865348d0-p_e.jpg,895000.0,2.0,-122.38967,47.58421,FOR_SALE,49124231.0,3198.0,4.0,1.0,1660.0,USA,USD,sqft,,,41,1,31,8728d5551ffffff,"POLYGON ((-122.38664703541991 47.5782054211481, -122.38167909975269 47.58151786080542, -122.38328487114632 47.58568551803602, -122.38985899588438 47.58654059358712, -122.39482666961898 47.58322804662694, -122.39322048061439 47.57906053143108, -122.38664703541991 47.5782054211481))",539.156626506024
8828d5555bfffff,SINGLE_FAMILY,7113.348,,1382900.0,https://photos.zillowstatic.com/fp/d93d6a4ea2039b1a1496148f06f622c1-p_e.jpg,1300000.0,5.0,-122.39518,47.568645,FOR_SALE,48941139.0,3927.0,4.0,3.0,2150.0,USA,USD,sqft,,,41,1,31,8728d5555ffffff,"POLYGON ((-122.39336937144999 47.563242954416424, -122.3884027792828 47.56655611687355, -122.3900085354632 47.5707245665352, -122.39658130120912 47.57157971162644, -122.40154763135479 47.5682664419281, -122.39994145784223 47.56409813439231, -122.39336937144999 47.563242954416424))",604.6511627906976
8828d5551bfffff,SINGLE_FAMILY,8651.016,-104000.0,1700200.0,https://photos.zillowstatic.com/fp/5b0a99033ca1ac510776a75230f150af-p_e.jpg,1695000.0,5.0,-122.39495,47.583893,FOR_SALE,49124927.0,6487.0,24.0,3.0,4060.0,USA,USD,sqft,,,41,1,31,8728d5551ffffff,"POLYGON ((-122.39482666961898 47.58322804662694, -122.38985899588438 47.58654059358712, -122.39146519257595 47.590707712505974, -122.39803948057079 47.5915621424186, -122.40300689211975 47.58824948818832, -122.40140027792577 47.58408251132807, -122.39482666961898 47.58322804662694))",417.48768472906403
8828d55467fffff,SINGLE_FAMILY,4800.312,,670100.0,https://photos.zillowstatic.com/fp/b6cba764565b502b8e2624c6438f6b3b-p_e.jpg,645000.0,1.0,-122.406845,47.56591,FOR_SALE,48743669.0,2104.0,3.0,1.0,870.0,USA,USD,sqft,,,41,1,31,8728d5546ffffff,"POLYGON ((-122.40490711639492 47.560784503546586, -122.39994145784223 47.56409813439231, -122.40154763135479 47.5682664419281, -122.40811988057048 47.56912097643544, -122.41308527680441 47.565807238412106, -122.41147868620757 47.56163907307158, -122.40490711639492 47.560784503546586))",741.3793103448276
8828d55467fffff,CONDO,,,454100.0,https://photos.zillowstatic.com/fp/74fb0091c7af28c79820ce033592733d-p_e.jpg,440000.0,2.0,-122.4075,47.56685,FOR_SALE,48808037.0,2155.0,4.0,1.0,728.0,USA,USD,,Apt 2,,41,1,31,8728d5546ffffff,"POLYGON ((-122.40490711639492 47.560784503546586, -122.39994145784223 47.56409813439231, -122.40154763135479 47.5682664419281, -122.40811988057048 47.56912097643544, -122.41308527680441 47.565807238412106, -122.41147868620757 47.56163907307158, -122.40490711639492 47.560784503546586))",604.3956043956044
8828d55519fffff,SINGLE_FAMILY,1542.024,-20000.0,825200.0,https://photos.zillowstatic.com/fp/add1263465b0bbc3ad9cbaa55fdbe540-p_e.jpg,830000.0,3.0,-122.38755,47.581875,FOR_SALE,2091626084.0,3800.0,55.0,2.0,1662.0,USA,USD,sqft,Unit A,,41,1,31,8728d5551ffffff,"POLYGON ((-122.38664703541991 47.5782054211481, -122.38167909975269 47.58151786080542, -122.38328487114632 47.58568551803602, -122.38985899588438 47.58654059358712, -122.39482666961898 47.58322804662694, -122.39322048061439 47.57906053143108, -122.38664703541991 47.5782054211481))",499.3983152827918
8828d55429fffff,CONDO,,,795600.0,https://photos.zillowstatic.com/fp/36be478ac2e121cc5666e1f46f1ad465-p_e.jpg,780000.0,2.0,-122.41076,47.570553,FOR_SALE,48845554.0,2084.0,31.0,2.0,1080.0,USA,USD,,Apt 319,,41,1,31,8728d5542ffffff,"POLYGON ((-122.41308527680441 47.565807238412106, -122.40811988057048 47.56912097643544, -122.40972647907235 47.57328874568726, -122.41629889085004 47.57414263470912, -122.42126402451244 47.570828789540954, -122.41965700903486 47.56666116250828, -122.41308527680441 47.565807238412106))",722.2222222222222
8828d55429fffff,CONDO,,-10000.0,,https://photos.zillowstatic.com/fp/afdbb86504bd951b33ceb97cedcdff6e-p_e.jpg,680000.0,2.0,-122.41076,47.570553,FOR_SALE,48845538.0,,88.0,2.0,1080.0,USA,USD,,Apt 303,,41,1,31,8728d5542ffffff,"POLYGON ((-122.41308527680441 47.565807238412106, -122.40811988057048 47.56912097643544, -122.40972647907235 47.57328874568726, -122.41629889085004 47.57414263470912, -122.42126402451244 47.570828789540954, -122.41965700903486 47.56666116250828, -122.41308527680441 47.565807238412106))",629.6296296296297
8828d55421fffff,SINGLE_FAMILY,3659.04,,795800.0,https://photos.zillowstatic.com/fp/217eae72f19c4487c6d2d047cb642e61-p_e.jpg,779950.0,3.0,-122.40961,47.57571,FOR_SALE,347753853.0,3200.0,17.0,2.0,1067.0,USA,USD,sqft,,BUILDER_SPEC,41,1,31,8728d5542ffffff,"POLYGON ((-122.40972647907235 47.57328874568726, -122.40476041120107 47.57660212259402, -122.40636701756867 47.58076949568571, -122.41294010898876 47.581623349709616, -122.41790591433265 47.57830986562725, -122.41629889085004 47.57414263470912, -122.40972647907235 47.57328874568726))",730.9746954076851
